wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/el-enemigo-el-mirador-single-vineyard-bonarda/w/6696925?year=2018&price_id=33899324,El Mirador Single Vineyard  Bonarda,2018,El Enemigo,4.2,155,,51.92641%,29.821645000000004%,19.119040000000005%,70.84870000000001%,"{'black fruit': 53, 'oaky': 41, 'earthy': 31, 'red fruit': 22, 'spices': 9, 'floral': 5, 'yeasty': 4, 'ageing': 3, 'dried fruit': 3, 'vegetal': 3, 'citrus': 1}","['veal', 'pork', 'poultry', 'game (deer, venison)']",['Bonarda'],"['Argentina', 'Mendoza']",Argentinian Bonarda,https://images.vivino.com/thumbs/mT5NgHLwSfuYL_xlhe-9Tw_pb_x600.png
https://www.vivino.com/elsa-bianchi-cabernet-sauvignon/w/1505189?year=2022&price_id=34103128,Cabernet Sauvignon,2022,Elsa Bianchi,3.3,56,,61.6586075%,48.729620000000004%,8.481535000000003%,43.1725%,"{'oaky': 41, 'black fruit': 27, 'spices': 23, 'red fruit': 19, 'earthy': 14, 'yeasty': 5, 'floral': 4, 'ageing': 2, 'tree fruit': 2, 'vegetal': 2, 'tropical': 1, 'citrus': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/WY_Qfk57RNCdHKui_Re_YA_pb_x600.png
https://www.vivino.com/vina-cobos-bramare-rebon-vineyard-malbec/w/1382212?year=2017&price_id=37004559,Bramare Rebon Vineyard Malbec,2017,Viña Cobos,4.6,763,,68.28606500000001%,38.07631%,24.581562500000004%,37.773325%,"{'oaky': 155, 'black fruit': 117, 'earthy': 63, 'red fruit': 43, 'spices': 38, 'ageing': 9, 'dried fruit': 8, 'floral': 7, 'yeasty': 5, 'vegetal': 3, 'tree fruit': 2, 'citrus': 2}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'La Consulta']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/JpcaxCvnRlWvCXZaxIkTug_pb_x600.png
https://www.vivino.com/vina-cobos-bramare-marchiori-vineyard-malbec/w/43944?year=2016&price_id=23576825,Bramare Marchiori Vineyard Malbec,2016,Viña Cobos,4.6,594,,69.60024%,30.769425%,23.915574999999997%,33.63441%,"{'oaky': 232, 'black fruit': 172, 'earthy': 66, 'spices': 52, 'red fruit': 48, 'dried fruit': 11, 'ageing': 10, 'floral': 9, 'yeasty': 8, 'vegetal': 1, 'tropical': 1, 'citrus': 1, 'tree fruit': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Lujan de Cuyo Malbec Red,https://images.vivino.com/thumbs/CS4T5M0VTcmYnl37tPho6A_pb_x600.png
https://www.vivino.com/vina-cobos-cobos-marchiori-estate-malbec/w/43934?year=2019&price_id=37165071,Cobos Marchiori Estate Malbec,2019,Viña Cobos,4.6,189,,69.429875%,33.95061249999999%,23.614925000000003%,31.631510000000006%,"{'oaky': 243, 'black fruit': 164, 'floral': 62, 'earthy': 60, 'spices': 45, 'ageing': 24, 'red fruit': 23, 'dried fruit': 11, 'yeasty': 9, 'vegetal': 2, 'citrus': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/X2ty79QSRCCjMPO8vaTPBQ_pb_x600.png
https://www.vivino.com/rutini-felipe-rutini/w/1223420?year=1996&price_id=37001381,Felipe Rutini,1996,Rutini,4.6,188,,78.81721750000001%,54.62363250000001%,14.290782499999999%,56.0996275%,"{'oaky': 104, 'black fruit': 53, 'earthy': 41, 'red fruit': 30, 'spices': 21, 'dried fruit': 4, 'yeasty': 3, 'citrus': 3, 'floral': 3, 'ageing': 1, 'tree fruit': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot']","['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/hljzKlrcQLW9kiYwechDbQ_pb_x600.png
https://www.vivino.com/zuccardi-finca-piedra-infinita-supercal/w/6691266?year=2018&price_id=36606993,Finca Piedra Infinita Supercal,2018,Zuccardi,4.6,45,,60.168957500000005%,40.036880000000004%,11.421097500000002%,48.278945%,"{'earthy': 7, 'black fruit': 6, 'oaky': 5}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/PWG9Q3GIQWuzC3um0xU2yw_pb_x600.png
https://www.vivino.com/tapiz-las-notas-de-jean-claude-mendoza-red-wine-v/w/4518569?year=2012&price_id=36631513,Las Notas de Jean Claude,2012,Tapiz,4.5,1245,,70.44369999999999%,50.303767500000006%,17.697155000000006%,50.871097500000005%,"{'oaky': 95, 'black fruit': 71, 'earthy': 47, 'red fruit': 35, 'spices': 22, 'ageing': 5, 'floral': 4, 'dried fruit': 3, 'yeasty': 2, 'vegetal': 2}","['beef', 'lamb', 'poultry', 'pasta']","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Petit Verdot']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/xRK-tG99TRqr3AIXvwg-Dg_pb_x600.png
https://www.vivino.com/vina-cobos-bramare-chanares-estate-malbec-valle-de-uco/w/5985400?year=2015&price_id=21246528,Bramare Chañares Estate Malbec,2015,Viña Cobos,4.5,949,,69.8549075%,52.710515%,19.638799999999996%,34.926335%,"{'oaky': 25, 'black fruit': 25, 'earthy': 14, 'spices': 12, 'red fruit': 10, 'floral': 3, 'yeasty': 2, 'ageing': 1, 'dried fruit': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/D4OrN2tJQZi_WzzkuwqO-A_pb_x600.png
https://www.vivino.com/luca-nico-by-luca-malbec/w/1240855?year=2018&price_id=33294036,Nico by Luca Malbec,2018,Luca,4.5,827,,69.91017500000001%,42.29673%,20.331825%,37.584917499999996%,"{'oaky': 66, 'black fruit': 66, 'earthy': 27, 'red fruit': 16, 'spices': 11, 'dried fruit': 6, 'ageing': 2, 'yeasty': 2, 'vegetal': 1, 'citrus': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/K3GsZ5GkQw6NbCeN4eZLaw_pb_x600.png
