wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/cl-geisse-rose-brut/w/1220057?price_id=33243294,,,Cave Amadeu,3.8,5619,26.24, 39.776%,,, 54.945%,"{'red fruit': 56, 'tree fruit': 19, 'citrus': 16, 'yeasty': 8, 'earthy': 5, 'tropical': 2, 'ageing': 2, 'spices': 1, 'floral': 1}","['pork', 'shellfish', 'rich fish (salmon, tuna etc)']",['Pinot Noir'],"['Brazil', 'Rio Grande do Sul', 'Serra Gaúcha']",Brazilian Sparkling,https://images.vivino.com/thumbs/2eG1E4YvQD2lD1D5Crf7_g_pb_x600.png
https://www.vivino.com/zuccardi-malamado-malbec-port/w/19488?price_id=35459693,,,Zuccardi,3.8,5412,25.95,,,,,"{'oaky': 146, 'black fruit': 110, 'dried fruit': 95, 'red fruit': 38, 'ageing': 35, 'spices': 30, 'earthy': 23, 'yeasty': 18, 'citrus': 7, 'floral': 2, 'vegetal': 1, 'tree fruit': 1, 'tropical': 1}","['pork', 'shellfish', 'rich fish (salmon, tuna etc)']",['Malbec'],"['Argentina', 'Mendoza']",13%,https://images.vivino.com/thumbs/jF7MMUTqSfGFM4Jv-SZVkA_pb_x600.png
https://www.vivino.com/bodega-finca-las-moras-intis-cabernet-sauvignon/w/1383749?year=2022&price_id=33882635,Intis Cabernet Sauvignon,2022,Bodega Finca Las Moras,3.5,128,6.75,48.4929675%,58.36217500000001%,18.3055575%,44.01161%,"{'black fruit': 6, 'red fruit': 5, 'spices': 4, 'oaky': 4, 'tropical': 1, 'earthy': 1, 'yeasty': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'San Juan']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/iHg5NQpHQYyhvXiSKAFCWg_pb_x600.png
https://www.vivino.com/ninety-cellars-lot-23-old-vine-malbec/w/1216179?year=2022&price_id=34369480,Lot 23 Old Vine Malbec,2022,90+ Cellars,3.5,101,10.99,67.318025%,24.31005%,16.529974999999997%,36.3921%,"{'black fruit': 205, 'oaky': 133, 'red fruit': 77, 'earthy': 51, 'spices': 28, 'yeasty': 6, 'ageing': 5, 'dried fruit': 3, 'vegetal': 2, 'tree fruit': 2, 'tropical': 2, 'citrus': 1, 'floral': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/WSbBwS-_SnWJSJ-Oen35vw_pb_x600.png
https://www.vivino.com/casarena-estate-cabernet-sauvignon/w/1544380?year=2019&price_id=26651140,Estate Cabernet Sauvignon,2019,Casarena,3.5,88,34.99,61.652924999999996%,54.06062%,11.543575%,42.7088075%,"{'black fruit': 41, 'oaky': 22, 'earthy': 8, 'red fruit': 4, 'dried fruit': 4, 'spices': 3, 'vegetal': 2, 'yeasty': 1, 'citrus': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/4JkmCMpbSc-JwJMsGKFOwg_pb_x600.png
https://www.vivino.com/zuccardi-malbec-rose/w/2577491?year=2021&price_id=35349199,Malbec Rosé,2021,Zuccardi,3.5,based,25.29,30%,,26.875%,42.5%,{'red fruit': 1},"['spicy food', 'mature and hard cheese', 'appetizers and snacks', 'blue cheese', 'cured meat']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Malbec Rosé,https://images.vivino.com/thumbs/1346429018_3263_150x200.jpg
https://www.vivino.com/lopez-casona-lopez-malbec/w/1150390?year=2022&price_id=36344952,Casona López Malbec,2022,López,3.5,87,20.26,47.7412025%,33.30612%,16.279014999999998%,39.710295%,"{'oaky': 16, 'black fruit': 14, 'red fruit': 8, 'dried fruit': 2, 'earthy': 2, 'ageing': 1, 'spices': 1, 'vegetal': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/FVZGoaR4Tkufi8VmTjgbMw_pb_x600.png
https://www.vivino.com/sensual-torrontes/w/1589300?year=2017&price_id=29663284,Torrontes,2017,Sensual,3.5,based,20,55%,,0,57.78065749999999%,"{'citrus': 8, 'tree fruit': 6, 'earthy': 3, 'vegetal': 2, 'tropical': 1, 'spices': 1}","['vegetarian', 'spicy food', 'aperitif']",['100%Torrontés'],"['Argentina', 'Mendoza']",Argentinian Torrontés,https://images.vivino.com/thumbs/Xp3QsmWXSCeE3m1PprWYDQ_pb_x600.png
https://www.vivino.com/trapiche-oak-cask-cabernet-sauvignon/w/1141324?year=2022&price_id=38261415,Oak Cask Cabernet Sauvignon,2022,Trapiche,3.5,68,12.97,66.00561%,56.043130000000005%,5.3184450000000005%,44.629125%,"{'oaky': 397, 'black fruit': 303, 'earthy': 143, 'red fruit': 127, 'spices': 55, 'yeasty': 13, 'ageing': 8, 'citrus': 4, 'tree fruit': 4, 'dried fruit': 3, 'floral': 2, 'vegetal': 1, 'tropical': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/UXBnsCZPTMiN5sIk63TiDQ_pb_x600.png
https://www.vivino.com/domaine-bousquet-gualtallary-alavida-kosher-usda-organic-malbec/w/10158433?year=2021&price_id=33967346,Alavida Kosher USDA Organic Malbec,2021,Domaine Bousquet,3.5,63,18.99,61.591035000000005%,30.520312499999996%,13.285715%,46.457282500000005%,"{'black fruit': 17, 'red fruit': 5, 'floral': 5, 'oaky': 5, 'spices': 2, 'tree fruit': 1, 'yeasty': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,https://images.vivino.com/thumbs/-YCQcPggQbmKrwJ07HUr4A_pb_x600.png
