wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/matias-riccitelli-kungfu-criolla/w/10160228?year=2024&price_id=37739017,Kungfu Criolla,2024,Matías Riccitelli,3.9,based,,,,,,"{'black fruit': 1, 'red fruit': 1, 'spices': 1}",,['Criolla Grande'],"['Argentina', 'Mendoza']",,,https://images.vivino.com/thumbs/nhT12xtFTzyRBYvNcRACnA_150x200.jpg
https://www.vivino.com/mendel-winery-malbec/w/13789?year=2020&price_id=32496065,Malbec,2020,Mendel,3.9,316,29.39,66.405165%,31.022487500000004%,19.3847575%,35.879259999999995%,"{'oaky': 494, 'black fruit': 452, 'earthy': 162, 'red fruit': 121, 'spices': 91, 'floral': 27, 'dried fruit': 26, 'ageing': 15, 'yeasty': 12, 'vegetal': 8, 'citrus': 3, 'tree fruit': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,14.5%,https://images.vivino.com/thumbs/1nk0TzqaTQKauReEtF6ukg_pb_x600.png
https://www.vivino.com/tapiz-alta-collection-cabernet-sauvignon/w/1856459?year=2020&price_id=35863966,Alta Collection Cabernet Sauvignon,2020,Tapiz,3.9,306,19.99,65.73767%,56.65214999999999%,4.693072500000001%,44.980974999999994%,"{'oaky': 271, 'black fruit': 271, 'earthy': 124, 'red fruit': 76, 'spices': 70, 'yeasty': 12, 'ageing': 7, 'floral': 7, 'dried fruit': 5, 'vegetal': 4, 'tropical': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,13.9%,https://images.vivino.com/thumbs/Pocliie6QymDkbhseRVGrw_pb_x600.png
https://www.vivino.com/nieto-senetiner-don-nicanor-malbec/w/82433?year=2019&price_id=35910042,Don Nicanor Malbec,2019,Nieto Senetiner,3.9,289,19.99,62.075702500000006%,33.916075%,21.877390000000002%,38.019132500000005%,"{'oaky': 238, 'black fruit': 223, 'earthy': 65, 'red fruit': 62, 'spices': 47, 'yeasty': 17, 'floral': 8, 'dried fruit': 7, 'vegetal': 7, 'ageing': 5, 'tree fruit': 5, 'citrus': 1, 'tropical': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,14.8%,https://images.vivino.com/thumbs/8kbkNHz-TV2wxDKjyvNgEA_pb_x600.png
https://www.vivino.com/familia-belasco-llama-old-vine-malbec/w/22655?year=2021&price_id=35991341,Llama Old Vine Malbec,2021,Belasco de Baquedano,3.9,268,17.84,63.0268925%,27.081310000000002%,19.0758925%,35.3519%,"{'black fruit': 567, 'oaky': 390, 'earthy': 235, 'red fruit': 181, 'spices': 102, 'yeasty': 15, 'floral': 13, 'ageing': 11, 'citrus': 11, 'dried fruit': 10, 'vegetal': 10, 'tree fruit': 6, 'tropical': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Lujan de Cuyo Malbec Red,,https://images.vivino.com/thumbs/wI-oj2uCQXaAfZ3fZTr_Wg_pb_x600.png
https://www.vivino.com/finca-la-igriega-blend/w/4620607?year=2017&price_id=33321584,Blend,2017,Finca La Igriega,3.9,based,64.99,68.5751125%,56.88889%,13.893%,49.588995%,"{'black fruit': 7, 'oaky': 3, 'spices': 2, 'earthy': 1, 'red fruit': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Petit Verdot']","['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Bordeaux Blend,,https://images.vivino.com/thumbs/mpyrs0L0T76JUlkcli11Mg_150x200.jpg
https://www.vivino.com/antigal-uno-cabernet-sauvignon/w/1877026?year=2019&price_id=33968555,UNO Cabernet Sauvignon,2019,Antigal,3.9,254,20.95,61.28826000000001%,53.509735%,8.182775%,46.716635000000004%,"{'oaky': 188, 'black fruit': 149, 'earthy': 76, 'spices': 55, 'red fruit': 53, 'yeasty': 6, 'ageing': 5, 'vegetal': 5, 'dried fruit': 3, 'citrus': 3, 'floral': 2, 'tree fruit': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,13.9%,https://images.vivino.com/thumbs/XSeBVL4MRe-nOZ8yAqPG_w_pb_x600.png
https://www.vivino.com/vina-cobos-felino-chardonnay/w/44024?year=2023&price_id=38572519,Felino Chardonnay,2023,Viña Cobos,3.9,256,16.79,54.819840000000006%,,13.888990000000003%,43.639979999999994%,"{'oaky': 403, 'tree fruit': 245, 'citrus': 199, 'tropical': 108, 'yeasty': 80, 'earthy': 74, 'vegetal': 39, 'ageing': 36, 'floral': 14, 'spices': 10, 'red fruit': 1}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,14.5%,https://images.vivino.com/thumbs/B-tlrIlySFq5CJXyKwl3kQ_pb_x600.png
https://www.vivino.com/zuccardi-poligonos-tupungato-semillon/w/7763347?year=2021&price_id=34745405,Polígonos Tupungato Sémillon,2021,Zuccardi,3.9,250,36.99,38.15842249999999%,,18.802165%,51.07457%,"{'tree fruit': 66, 'earthy': 38, 'citrus': 33, 'oaky': 19, 'vegetal': 11, 'tropical': 11, 'yeasty': 8, 'ageing': 4, 'red fruit': 1}","['pork', 'shellfish', 'rich fish (salmon, tuna etc)', 'lean fish', ""goat's milk cheese""]",['Sémillon'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Sémillon White,,https://images.vivino.com/thumbs/BrwLMoAxSNupWZpoex5I7A_pb_x600.png
https://www.vivino.com/cepas-elegidas-con-tacto-malbec/w/3192191?year=2019&price_id=38147076,Con Tacto Malbec,2019,Cepas Elegidas,3.9,based,22.04,69.89%,32.760917500000005%,13.234544999999997%,34.532725000000006%,"{'oaky': 8, 'black fruit': 7, 'earthy': 7, 'spices': 1, 'red fruit': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/DgT_OdCdT7--c1NqF7rhkA_pb_x600.png
