wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/bodegas-caro-amancaya-gran-reserva-malbec-cabernet-sauvignon/w/1385596?year=2021&price_id=37028818,Amancaya Gran Reserva Malbec - Cabernet Sauvignon,2021,Caro (Catena and Rothschild),3.9,based,30.79,80.4228825%,50.0595925%,6.511222499999999%,54.013724999999994%,"{'oaky': 410, 'black fruit': 315, 'earthy': 204, 'red fruit': 135, 'spices': 115, 'yeasty': 28, 'floral': 13, 'dried fruit': 11, 'ageing': 9, 'vegetal': 9, 'citrus': 5, 'tree fruit': 4, 'tropical': 2}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon - Malbec,,https://images.vivino.com/thumbs/fd8kfukRQyS0PfYhk17RgA_pb_x600.png
https://www.vivino.com/la-posta-fazzio-malbec-domingo-fazzio/w/3418196?year=2023&price_id=38023107,Fazzio Malbec (Domingo Fazzio),2023,La Posta,3.8,27,21.95,60.16792000000001%,28.525870000000005%,19.283990000000003%,36.1318925%,"{'black fruit': 312, 'oaky': 255, 'earthy': 158, 'red fruit': 148, 'spices': 65, 'yeasty': 14, 'ageing': 10, 'floral': 10, 'dried fruit': 5, 'vegetal': 4, 'tree fruit': 3}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,13.5%,https://images.vivino.com/thumbs/eZBQ285hTm2tZeBD00-9og_pb_x600.png
https://www.vivino.com/new-age-sweet-white/w/7704484?price_id=34276722,Sweet White,N.V.,New Age,3.9,6103,13.95, 41.6963%,, 38.5452%, 47.092%,"{'citrus': 529, 'tree fruit': 154, 'earthy': 31, 'tropical': 30, 'red fruit': 26, 'floral': 14, 'spices': 10, 'yeasty': 6, 'vegetal': 5, 'oaky': 5, 'ageing': 4, 'black fruit': 3, 'dried fruit': 1}","['pork', 'shellfish', 'vegetarian', 'mature and hard cheese', 'lean fish', 'mild and soft cheese']","['90%Torrontés', '10%Sauvignon Blanc']","['Argentina', 'Mendoza']",Argentinian White,9.5%,https://images.vivino.com/thumbs/nFwjHAoMQHavT3XFUB4JfQ_pb_x600.png
https://www.vivino.com/zorzal-eggo-tinto-de-tiza/w/2691098?year=2021&price_id=37868620,Eggo (Tinto de Tiza),2021,Zorzal,3.9,based,29.39,68.86397500000001%,48.58255749999999%,9.415435000000002%,54.203145000000006%,"{'black fruit': 133, 'earthy': 112, 'oaky': 73, 'red fruit': 65, 'spices': 50, 'floral': 19, 'yeasty': 8, 'dried fruit': 8, 'vegetal': 5, 'ageing': 3, 'citrus': 1, 'tree fruit': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,,https://images.vivino.com/thumbs/Sww_YDniSKSPKz34z_m9lA_pb_x600.png
https://www.vivino.com/maal-biutiful/w/1637234?year=2023&price_id=36971231,Biutiful,2023,Maal,3.9,based,22.95,61.91783500000001%,28.2294075%,21.770165000000002%,35.13315%,"{'black fruit': 150, 'oaky': 123, 'earthy': 77, 'red fruit': 41, 'spices': 37, 'yeasty': 6, 'dried fruit': 5, 'floral': 4, 'citrus': 4, 'vegetal': 3, 'ageing': 2, 'tree fruit': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/TafoXrcsQN-fonyOgrVkug_pb_x600.png
https://www.vivino.com/zuccardi-q-malbec/w/19429?year=2019&price_id=32767913,Q Malbec,2019,Zuccardi,3.9,4400,19.94,63.1163875%,33.160174999999995%,19.289742500000003%,37.89458750000001%,"{'black fruit': 1473, 'oaky': 946, 'earthy': 537, 'spices': 307, 'red fruit': 278, 'floral': 93, 'dried fruit': 47, 'yeasty': 44, 'ageing': 35, 'citrus': 14, 'vegetal': 12, 'tree fruit': 4, 'tropical': 2}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,14.5%,https://images.vivino.com/thumbs/6Vgw3sRxTveQMXUVrGpXsw_pb_x600.png
https://www.vivino.com/gascon-reserva-malbec/w/1174542?year=2022&price_id=36900683,Reserva Malbec,2022,Gascon,3.9,based,23.08,68.21201249999999%,23.313855%,13.005947499999998%,34.6826075%,"{'black fruit': 232, 'oaky': 230, 'earthy': 105, 'spices': 54, 'red fruit': 53, 'dried fruit': 9, 'yeasty': 8, 'citrus': 4, 'floral': 4, 'ageing': 3, 'vegetal': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/amEWW_poRd6J0cGrnOqRTA_pb_x600.png
https://www.vivino.com/catena-cabernet-sauvignon/w/1268655?year=2019&price_id=35864094,Cabernet Sauvignon,2019,Catena,3.9,3854,19.89,66.421625%,53.204840000000004%,10.627972499999998%,43.536095%,"{'oaky': 1238, 'black fruit': 1048, 'earthy': 439, 'red fruit': 404, 'spices': 326, 'yeasty': 47, 'floral': 44, 'dried fruit': 34, 'vegetal': 31, 'ageing': 28, 'tree fruit': 17, 'citrus': 13}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,13.5%,https://images.vivino.com/thumbs/WMeQoqMKR6aTFm34bMazPw_pb_x600.png
https://www.vivino.com/catena-appellation-agrelo-cabernet-sauvignon/w/5074467?year=2022&price_id=38001824,Appellation Agrelo Cabernet Sauvignon,2022,Catena,3.9,based,26.35,65.86114%,54.990219999999994%,11.400022500000002%,44.564747499999996%,"{'oaky': 277, 'black fruit': 277, 'earthy': 117, 'red fruit': 75, 'spices': 74, 'vegetal': 12, 'yeasty': 7, 'dried fruit': 7, 'ageing': 5, 'floral': 5, 'tree fruit': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Agrelo']",Argentinian Cabernet Sauvignon,13.5%,https://images.vivino.com/thumbs/jXybD0VqSBmTqj04dxyQpA_pb_x600.png
https://www.vivino.com/ar-mendoza-vineyards-mv-gran-reserva-malbec/w/1870815?year=2017&price_id=33969126,MV Gran Reserva Malbec,2017,Mendoza Vineyards,3.9,2175,20.99,64.566165%,25.363750000000003%,14.905457499999997%,35.3695%,"{'black fruit': 369, 'oaky': 244, 'earthy': 134, 'red fruit': 74, 'spices': 52, 'yeasty': 17, 'floral': 13, 'ageing': 10, 'vegetal': 7, 'dried fruit': 5, 'citrus': 3, 'tree fruit': 3, 'tropical': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,13.5%,https://images.vivino.com/thumbs/C1w0eOE8QkeNvLrsmctooQ_pb_x600.png
