wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,style,alcohol,image,ageing,black fruit,citrus,dried fruit,earthy,floral,oaky,red fruit,spices,tree fruit,tropical,vegetal,yeasty,any junk food will do,aperitif,appetizers and snacks,beef,blue cheese,cured meat,"game (deer, venison)",goat's milk cheese,lamb,lean fish,mature and hard cheese,mild and soft cheese,mushrooms,pasta,pork,poultry,"rich fish (salmon, tuna etc)",shellfish,spicy food,veal,vegetarian,Albariño,Barbera,Bonarda,Béquignol Noir,Cabernet Franc,Cabernet Sauvignon,Cereza,Chardonnay,Chenin Blanc,Criolla Grande,Garnacha,Gewürztraminer,Grenache,Grüner Veltliner,Malbec,Malvasia,Marsanne,Mencia,Merlot,Moscatel,Mourvedre,Pais,Pedro Ximenez,Petit Verdot,Pinot Gris,Pinot Noir,Riesling,Roussanne,Sangiovese,Sauvignon Blanc,Shiraz/Syrah,Sémillon,Tannat,Tempranillo,Torrontés,Trousseau,Verdejo,Viognier,Agrelo,Argentina,Brazil,Cafayate Valley,Calchaqui Valley,Campanha,Famatina,Gualtallary,La Consulta,La Rioja,Las Compuertas,Lujan de Cuyo,Lunlunta,Maipu,Mendoza,Paraje Altamira,Patagonia,Pedernal Valley,Perdriel,Rio Grande do Sul,Rio Negro,Salta,San Carlos,San Juan,San Rafael,Serra Gaúcha,Tulum Valley,Tunuyán,Tupungato,Uco Valley,Vale dos Vinhedos,Vista Flores
https://www.vivino.com/US/en/luigi-bosca-paraiso/w/11003299?year=2020&price_id=38548588,Paraiso,2020,Luigi Bosca,4.8,582.0,188.33,0.7343,0.509,0.1361,0.4474,Argentinian Cabernet Sauvignon - Malbec,,https://images.vivino.com/thumbs/_Bf6JTwYRpSX6eKUiLIvNA_pb_x600.png,0.0,0.35,0.0,0.0,0.125,0.05,0.325,0.05,0.1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.vivino.com/US/en/catena-zapata-estiba-reservada/w/1186732?year=2015&price_id=36655721,Estiba Reservada,2015,Catena Zapata,4.7,297.0,675.0,0.7417,0.5583,0.1434,0.5445,Argentinian Bordeaux Blend,0.14,https://images.vivino.com/thumbs/Yt464jw0QS-ugF7ZQEbE2Q_pb_x600.png,0.0241,0.2008,0.008,0.012,0.0964,0.0241,0.4378,0.0843,0.1004,0.0,0.0,0.004,0.008,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.vivino.com/US/en/catena-zapata-estiba-reservada/w/1186732?year=2017&price_id=35604406,Estiba Reservada,2017,Catena Zapata,4.7,219.0,580.0,0.7417,0.5583,0.1434,0.5445,Argentinian Bordeaux Blend,,https://images.vivino.com/thumbs/Yt464jw0QS-ugF7ZQEbE2Q_pb_x600.png,0.0241,0.2008,0.008,0.012,0.0964,0.0241,0.4378,0.0843,0.1004,0.0,0.0,0.004,0.008,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.vivino.com/US/en/monteviejo-la-violeta/w/1556378?year=2013&price_id=30269631,La Violeta,2013,Monteviejo,4.7,202.0,150.0,0.7306,0.4091,0.2148,0.3661,Argentinian Uco Valley Malbec Red,0.145,https://images.vivino.com/thumbs/FO-x9h3mQHSx9IHEMw66sQ_pb_x600.png,0.0061,0.2988,0.0,0.0061,0.1585,0.0671,0.311,0.0671,0.0671,0.0,0.0,0.0061,0.0122,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.vivino.com/US/en/vina-cobos-cobos-volturno/w/1505859?year=2018&price_id=30508346,Cobos Volturno,2018,Viña Cobos,4.7,198.0,399.99,0.7105,0.4563,0.2426,0.3844,Argentinian Cabernet Sauvignon - Malbec,,https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png,0.0258,0.2526,0.0103,0.0103,0.0773,0.0103,0.4433,0.0773,0.0876,0.0,0.0,0.0,0.0052,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.vivino.com/US/en/monteviejo-la-violeta/w/1556378?year=2014&price_id=38149864,La Violeta,2014,Monteviejo,4.7,126.0,125.0,0.7306,0.4091,0.2148,0.3661,Argentinian Uco Valley Malbec Red,0.15,https://images.vivino.com/thumbs/FO-x9h3mQHSx9IHEMw66sQ_pb_x600.png,0.0061,0.2988,0.0,0.0061,0.1585,0.0671,0.311,0.0671,0.0671,0.0,0.0,0.0061,0.0122,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.vivino.com/US/en/catena-zapata-adrianna-vineyard-mundus-bacillus-terrae-malbec-gualtallary/w/5107190?year=2017&price_id=25247262,Adrianna Vineyard Mundus Bacillus Terrae Malbec,2017,Catena Zapata,4.7,100.0,367.49,0.6652,0.3627,0.2189,0.4354,Argentinian Tupungato Malbec Red,,https://images.vivino.com/thumbs/MAJABzdkRsivuLslt7z-vQ_pb_x600.png,0.0056,0.2521,0.0112,0.0084,0.1765,0.056,0.3165,0.0588,0.0868,0.0028,0.0,0.0056,0.0196,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
https://www.vivino.com/US/en/vina-cobos-cobos-vina-cobos-malbec/w/10113406?year=2019&price_id=33408877,Cobos Viña Cobos Malbec,2019,Viña Cobos,4.7,100.0,599.99,0.7025,0.3888,0.226,0.4525,Argentinian Lujan de Cuyo Malbec Red,0.145,https://images.vivino.com/thumbs/1qNhQPqAQYCwVamEqW5vng_pb_x600.png,0.0,0.5625,0.0,0.0,0.0,0.0625,0.3125,0.0625,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.vivino.com/US/en/vina-cobos-cobos-volturno/w/1505859?year=2019&price_id=33243233,Cobos Volturno,2019,Viña Cobos,4.7,80.0,251.99,0.7105,0.4563,0.2426,0.3844,Argentinian Cabernet Sauvignon - Malbec,,https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png,0.0258,0.2526,0.0103,0.0103,0.0773,0.0103,0.4433,0.0773,0.0876,0.0,0.0,0.0,0.0052,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.vivino.com/US/en/vina-cobos-cobos-volturno/w/1505859?year=2020&price_id=36296590,Cobos Volturno,2020,Viña Cobos,4.7,64.0,349.99,0.7105,0.4563,0.2426,0.3844,Argentinian Cabernet Sauvignon - Malbec,,https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png,0.0258,0.2526,0.0103,0.0103,0.0773,0.0103,0.4433,0.0773,0.0876,0.0,0.0,0.0,0.0052,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
