wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/altos-las-hormigas-blanco/w/9003790?year=2024&price_id=37868618,Blanco,2024,Altos Las Hormigas,3.7,based,16.88,44.5260575%,,9.288775000000001%,46.5580025%,"{'citrus': 11, 'tree fruit': 10, 'earthy': 7, 'tropical': 5, 'oaky': 3, 'vegetal': 2, 'yeasty': 2, 'ageing': 2, 'spices': 2}","['pork', 'shellfish', 'vegetarian', 'mature and hard cheese', 'lean fish', 'mild and soft cheese']","['Chenin Blanc', 'Sémillon', 'Pedro Giménez']","['Argentina', 'Mendoza']",Argentinian White,https://images.vivino.com/thumbs/WtUTz_LiSOyApijM99dDKA_pb_x600.png
https://www.vivino.com/altos-del-plata-malbec/w/1161128?year=2022&price_id=36901366,Malbec,2022,Altos del Plata,3.7,484,11.54,61.005632500000004%,28.626800000000003%,18.630557499999995%,37.4329075%,"{'oaky': 639, 'black fruit': 578, 'earthy': 342, 'red fruit': 325, 'spices': 150, 'floral': 42, 'yeasty': 41, 'ageing': 36, 'dried fruit': 30, 'vegetal': 22, 'tropical': 8, 'citrus': 7, 'tree fruit': 4}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Lujan de Cuyo Malbec Red,https://images.vivino.com/thumbs/5FixNfhtRui_n_OwIFHPPw_pb_x600.png
https://www.vivino.com/matias-riccitelli-the-apple-doesn-t-fall-far-from-the-tree-torrontes/w/4563874?year=2024&price_id=37479805,The Apple Doesn't Fall Far From The Tree Torrontés,2024,Matías Riccitelli,3.7,based,20.26,47.043287500000005%,,11.772762500000002%,56.6847075%,"{'tree fruit': 37, 'citrus': 30, 'earthy': 17, 'tropical': 14, 'floral': 14, 'vegetal': 3, 'dried fruit': 2, 'yeasty': 2, 'spices': 1, 'oaky': 1}","['vegetarian', 'spicy food', 'aperitif']",['Torrontés'],"['Argentina', 'Mendoza']",Argentinian Torrontés,https://images.vivino.com/thumbs/z2ZdkSD3RHaTrPIiHtrEfw_pb_x600.png
https://www.vivino.com/ar-pascual-toso-malbec/w/1084095?year=2021&price_id=34536845,Malbec,2021,Pascual Toso,3.7,469,12.99,60.639195%,24.281475000000004%,17.0916225%,35.30237%,"{'oaky': 532, 'black fruit': 425, 'earthy': 231, 'red fruit': 107, 'spices': 106, 'yeasty': 35, 'dried fruit': 16, 'floral': 13, 'tree fruit': 12, 'ageing': 11, 'citrus': 5, 'vegetal': 4}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/toIDvGr7Rqyxl_L-_wq7Sg_pb_x600.png
https://www.vivino.com/don-rodolfo-tannat/w/1814646?year=2021&price_id=35191913,Tannat,2021,Don Rodolfo,3.7,based,16.79,,,,,"{'black fruit': 49, 'oaky': 40, 'earthy': 31, 'red fruit': 13, 'spices': 12, 'dried fruit': 4, 'tree fruit': 4, 'citrus': 2, 'ageing': 1, 'yeasty': 1}","['beef', 'lamb', 'pork']",['Tannat'],"['Argentina', 'Mendoza']",Contains sulfites,https://images.vivino.com/thumbs/_cLDvOCOQoOcisr0Sw68kw_pb_x600.png
https://www.vivino.com/domaine-bousquet-gualtallary-virgen-vineyards-usda-organic-malbec/w/8097554?year=2019&price_id=26350982,Virgen Vineyards USDA Organic Malbec,2019,Domaine Bousquet,3.7,442,12.99,54.5808425%,37.3493175%,24.215125%,46.21958%,"{'black fruit': 65, 'earthy': 20, 'spices': 13, 'oaky': 10, 'red fruit': 10, 'floral': 4, 'tree fruit': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,https://images.vivino.com/thumbs/gejhoTXxTey38MfwhicvYQ_pb_x600.png
https://www.vivino.com/dona-paula-los-cardos-malbec/w/24203?year=2023&price_id=36241028,Los Cardos Malbec,2023,Doña Paula,3.7,398,12.99,58.415035%,27.820729999999998%,20.79454%,39.1210075%,"{'black fruit': 543, 'oaky': 295, 'earthy': 237, 'red fruit': 199, 'spices': 106, 'yeasty': 43, 'floral': 36, 'ageing': 16, 'dried fruit': 15, 'citrus': 15, 'vegetal': 14, 'tree fruit': 8, 'tropical': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Lujan de Cuyo Malbec Red,https://images.vivino.com/thumbs/5gXQ4yKJQcuWWkmC9AJUNQ_pb_x600.png
https://www.vivino.com/tilia-malbec/w/87730?year=2022&price_id=38057225,Malbec,2022,Tilia,3.7,392,11.99,62.55409999999999%,23.87213%,14.9177425%,34.4958525%,"{'black fruit': 728, 'oaky': 459, 'red fruit': 304, 'earthy': 251, 'spices': 139, 'yeasty': 32, 'ageing': 21, 'floral': 17, 'dried fruit': 15, 'tree fruit': 13, 'vegetal': 11, 'citrus': 7, 'tropical': 3}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/KArKDimcRoirVDpDgWUjNA_pb_x600.png
https://www.vivino.com/zorzal-terroir-unico-malbec/w/1368957?year=2020&price_id=33769450,Terroir Único Malbec,2020,Zorzal,3.7,386,13.64,59.5095%,36.483732499999995%,17.67119%,43.203585%,"{'black fruit': 192, 'oaky': 153, 'red fruit': 120, 'earthy': 104, 'spices': 82, 'floral': 16, 'yeasty': 11, 'dried fruit': 5, 'citrus': 5, 'vegetal': 5, 'tree fruit': 3, 'tropical': 2, 'ageing': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,https://images.vivino.com/thumbs/UxR463rXTq66IEFy8OfXmw_pb_x600.png
https://www.vivino.com/antigal-uno-cabernet-sauvignon/w/1877026?year=2018&price_id=28746313,UNO Cabernet Sauvignon,2018,Antigal,3.7,381,22.92,61.28826000000001%,53.509735%,8.182775%,46.716635000000004%,"{'oaky': 188, 'black fruit': 149, 'earthy': 76, 'spices': 55, 'red fruit': 53, 'yeasty': 6, 'ageing': 5, 'vegetal': 5, 'dried fruit': 3, 'citrus': 3, 'floral': 2, 'tree fruit': 1}","['beef', 'lamb', 'poultry']",['100%Shiraz/Syrah'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/XSeBVL4MRe-nOZ8yAqPG_w_pb_x600.png
